"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R2-U1-L2vsL5";"2022-06-17";"12:45:00";"V1";"7flkk";"A-R2";"Fjölnir 1";"Afturelding 1";"1"
"A-R2-U2-L5vsL3";"2022-06-17";"13:15:00";"V2";"7flkk";"A-R2";"Afturelding 1";"Selfoss 1";"1"
"A-R2-U3-L4vsL5";"2022-06-17";"13:45:00";"V2";"7flkk";"A-R2";"Þór Ak.";"Afturelding 1";"1"
"A-R2-U5-L5vsL1";"2022-06-17";"14:45:00";"V1";"7flkk";"A-R2";"Afturelding 1";"Stjarnan 1";"1"
"C-R5-U2-L1vsL2";"2022-06-17";"15:45:00";"V11";"7flkk";"C-R5";"Afturelding 2";"Breiðablik 4";"2"
"C-R5-U3-L3vsL1";"2022-06-17";"16:15:00";"V11";"7flkk";"C-R5";"Valur 3";"Afturelding 2";"2"
"C-R5-U4-L1vsL4";"2022-06-17";"16:45:00";"V12";"7flkk";"C-R5";"Afturelding 2";"Fram 2";"2"
"C-R5-U5-L5vsL1";"2022-06-17";"17:15:00";"V11";"7flkk";"C-R5";"KF 1";"Afturelding 2";"2"
"C-R3-U1-L2vsL5";"2022-06-17";"15:15:00";"V9";"7flkk";"C-R3";"KR 6";"Afturelding 3";"3"
"C-R3-U2-L5vsL3";"2022-06-17";"15:45:00";"V10";"7flkk";"C-R3";"Afturelding 3";"Valur 2";"3"
"C-R3-U3-L4vsL5";"2022-06-17";"16:15:00";"V10";"7flkk";"C-R3";"Keflavík 3";"Afturelding 3";"3"
"C-R3-U5-L5vsL1";"2022-06-17";"17:15:00";"V9";"7flkk";"C-R3";"Afturelding 3";"Stjarnan 6";"3"
"D-R1-U1-L2vsL5";"2022-06-17";"12:30:00";"V7";"7flkk";"D-R1";"Afturelding 4";"KR 7";"4"
"D-R1-U2-L1vsL2";"2022-06-17";"13:00:00";"V7";"7flkk";"D-R1";"Keflavík 4";"Afturelding 4";"4"
"D-R1-U4-L2vsL3";"2022-06-17";"14:00:00";"V7";"7flkk";"D-R1";"Afturelding 4";"Breiðablik 6";"4"
"D-R1-U5-L4vsL2";"2022-06-17";"14:30:00";"V8";"7flkk";"D-R1";"Njarðvík 3";"Afturelding 4";"4"
"E-R3-U1-L2vsL5";"2022-06-17";"12:30:00";"V15";"7flkk";"E-R3";"Afturelding 5";"ÍBV 4";"5"
"E-R3-U2-L1vsL2";"2022-06-17";"13:00:00";"V15";"7flkk";"E-R3";"Stjarnan 11";"Afturelding 5";"5"
"E-R3-U4-L2vsL3";"2022-06-17";"14:00:00";"V15";"7flkk";"E-R3";"Afturelding 5";"Fjölnir 6";"5"
"E-R3-U5-L4vsL2";"2022-06-17";"14:30:00";"V16";"7flkk";"E-R3";"KA 4";"Afturelding 5";"5"
"F-R5-U1-L2vsL5";"2022-06-17";"15:15:00";"V17";"7flkk";"F-R5";"HK 4";"Afturelding 6";"6"
"F-R5-U2-L5vsL3";"2022-06-17";"15:45:00";"V18";"7flkk";"F-R5";"Afturelding 6";"Fram 3";"6"
"F-R5-U3-L4vsL5";"2022-06-17";"16:15:00";"V18";"7flkk";"F-R5";"Fjölnir 8";"Afturelding 6";"6"
"F-R5-U5-L5vsL1";"2022-06-17";"17:15:00";"V17";"7flkk";"F-R5";"Afturelding 6";"Þróttur R 7";"6"
"F-R6-U1-L3vsL4";"2022-06-17";"15:30:00";"V18";"7flkk";"F-R6";"Þór Ak.";"Afturelding 7";"7"
"F-R6-U3-L4vsL5";"2022-06-17";"16:30:00";"V18";"7flkk";"F-R6";"Afturelding 7";"FH 6";"7"
"F-R6-U4-L1vsL4";"2022-06-17";"17:00:00";"V18";"7flkk";"F-R6";"Grótta 5";"Afturelding 7";"7"
"F-R6-U5-L4vsL2";"2022-06-17";"17:30:00";"V18";"7flkk";"F-R6";"Afturelding 7";"ÍR 4";"7"
"G-R6-U1-L2vsL5";"2022-06-17";"12:45:00";"V11";"7flkk";"G-R6";"Afturelding 8";"Völsungur 3";"8"
"G-R6-U2-L1vsL2";"2022-06-17";"13:15:00";"V11";"7flkk";"G-R6";"Grindavík 7";"Afturelding 8";"8"
"G-R6-U4-L2vsL3";"2022-06-17";"14:15:00";"V11";"7flkk";"G-R6";"Afturelding 8";"KR 11";"8"
"G-R6-U5-L4vsL2";"2022-06-17";"14:45:00";"V12";"7flkk";"G-R6";"Grótta 6";"Afturelding 8";"8"
"G-R4-U1-L3vsL4";"2022-06-17";"12:45:00";"V6";"7flkk";"G-R4";"VíkingurR 9";"Afturelding 9";"9"
"G-R4-U3-L4vsL5";"2022-06-17";"13:45:00";"V6";"7flkk";"G-R4";"Afturelding 9";"Fylkir 7";"9"
"G-R4-U4-L1vsL4";"2022-06-17";"14:15:00";"V6";"7flkk";"G-R4";"KF 2";"Afturelding 9";"9"
"G-R4-U5-L4vsL2";"2022-06-17";"14:45:00";"V6";"7flkk";"G-R4";"Afturelding 9";"ÍA 8";"9"
