"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R3-U1-L3vsL4";"2022-06-17";"12:30:00";"V4";"7flkk";"A-R3";"Grindavík 1";"Breiðablik 1";"1"
"A-R3-U3-L4vsL5";"2022-06-17";"13:30:00";"V4";"7flkk";"A-R3";"Breiðablik 1";"KA 1";"1"
"A-R3-U4-L1vsL4";"2022-06-17";"14:00:00";"V4";"7flkk";"A-R3";"FH 1";"Breiðablik 1";"1"
"A-R3-U5-L4vsL2";"2022-06-17";"14:30:00";"V4";"7flkk";"A-R3";"Breiðablik 1";"Þróttur R 1";"1"
"F-R4-U1-L2vsL5";"2022-06-17";"15:30:00";"V15";"7flkk";"F-R4";"Breiðablik 10";"Grindavík 6";"10"
"F-R4-U2-L1vsL2";"2022-06-17";"16:00:00";"V15";"7flkk";"F-R4";"ÍBV 5";"Breiðablik 10";"10"
"F-R4-U4-L2vsL3";"2022-06-17";"17:00:00";"V15";"7flkk";"F-R4";"Breiðablik 10";"Ægir 1";"10"
"F-R4-U5-L4vsL2";"2022-06-17";"17:30:00";"V16";"7flkk";"F-R4";"Fylkir 6";"Breiðablik 10";"10"
"F-R1-U1-L2vsL5";"2022-06-17";"15:15:00";"V13";"7flkk";"F-R1";"HK 5";"Breiðablik 11";"11"
"F-R1-U2-L5vsL3";"2022-06-17";"15:45:00";"V14";"7flkk";"F-R1";"Breiðablik 11";"Valur 6";"11"
"F-R1-U3-L4vsL5";"2022-06-17";"16:15:00";"V14";"7flkk";"F-R1";"KR 9";"Breiðablik 11";"11"
"F-R1-U5-L5vsL1";"2022-06-17";"17:15:00";"V13";"7flkk";"F-R1";"Breiðablik 11";"Fjölnir 9";"11"
"B-R2-U2-L1vsL2";"2022-06-17";"16:00:00";"V1";"7flkk";"B-R2";"Breiðablik 2";"Snæfellsnes 1";"2"
"B-R2-U3-L3vsL1";"2022-06-17";"16:30:00";"V1";"7flkk";"B-R2";"Keflavík 2";"Breiðablik 2";"2"
"B-R2-U4-L1vsL4";"2022-06-17";"17:00:00";"V2";"7flkk";"B-R2";"Breiðablik 2";"KR 3";"2"
"B-R2-U5-L5vsL1";"2022-06-17";"17:30:00";"V1";"7flkk";"B-R2";"ÍR 1";"Breiðablik 2";"2"
"B-R6-U1-L2vsL5";"2022-06-17";"15:30:00";"V5";"7flkk";"B-R6";"Breiðablik 3";"Fjölnir 2";"3"
"B-R6-U2-L1vsL2";"2022-06-17";"16:00:00";"V5";"7flkk";"B-R6";"ÍBV 2";"Breiðablik 3";"3"
"B-R6-U4-L2vsL3";"2022-06-17";"17:00:00";"V5";"7flkk";"B-R6";"Breiðablik 3";"KR 2";"3"
"B-R6-U5-L4vsL2";"2022-06-17";"17:30:00";"V6";"7flkk";"B-R6";"UMFS Dalvík 1";"Breiðablik 3";"3"
"C-R5-U1-L2vsL5";"2022-06-17";"15:15:00";"V11";"7flkk";"C-R5";"Breiðablik 4";"KF 1";"4"
"C-R5-U2-L1vsL2";"2022-06-17";"15:45:00";"V11";"7flkk";"C-R5";"Afturelding 2";"Breiðablik 4";"4"
"C-R5-U4-L2vsL3";"2022-06-17";"16:45:00";"V11";"7flkk";"C-R5";"Breiðablik 4";"Valur 3";"4"
"C-R5-U5-L4vsL2";"2022-06-17";"17:15:00";"V12";"7flkk";"C-R5";"Fram 2";"Breiðablik 4";"4"
"C-R6-U1-L2vsL5";"2022-06-17";"15:30:00";"V11";"7flkk";"C-R6";"Þór Ak.";"Breiðablik 5";"5"
"C-R6-U2-L5vsL3";"2022-06-17";"16:00:00";"V12";"7flkk";"C-R6";"Breiðablik 5";"Njarðvík 2";"5"
"C-R6-U3-L4vsL5";"2022-06-17";"16:30:00";"V12";"7flkk";"C-R6";"Stjarnan 5";"Breiðablik 5";"5"
"C-R6-U5-L5vsL1";"2022-06-17";"17:30:00";"V11";"7flkk";"C-R6";"Breiðablik 5";"Leiknir R 1";"5"
"D-R1-U1-L3vsL4";"2022-06-17";"12:30:00";"V8";"7flkk";"D-R1";"Breiðablik 6";"Njarðvík 3";"6"
"D-R1-U2-L5vsL3";"2022-06-17";"13:00:00";"V8";"7flkk";"D-R1";"KR 7";"Breiðablik 6";"6"
"D-R1-U3-L3vsL1";"2022-06-17";"13:30:00";"V7";"7flkk";"D-R1";"Breiðablik 6";"Keflavík 4";"6"
"D-R1-U4-L2vsL3";"2022-06-17";"14:00:00";"V7";"7flkk";"D-R1";"Afturelding 4";"Breiðablik 6";"6"
"E-R5-U2-L1vsL2";"2022-06-17";"13:00:00";"V17";"7flkk";"E-R5";"Breiðablik 7";"ÍA 4";"7"
"E-R5-U3-L3vsL1";"2022-06-17";"13:30:00";"V17";"7flkk";"E-R5";"FH 4";"Breiðablik 7";"7"
"E-R5-U4-L1vsL4";"2022-06-17";"14:00:00";"V18";"7flkk";"E-R5";"Breiðablik 7";"VíkingurR 6";"7"
"E-R5-U5-L5vsL1";"2022-06-17";"14:30:00";"V17";"7flkk";"E-R5";"Valur 4";"Breiðablik 7";"7"
"E-R6-U1-L2vsL5";"2022-06-17";"12:45:00";"V17";"7flkk";"E-R6";"Breiðablik 8";"Keflavík 5";"8"
"E-R6-U2-L1vsL2";"2022-06-17";"13:15:00";"V17";"7flkk";"E-R6";"ÍA 5";"Breiðablik 8";"8"
"E-R6-U4-L2vsL3";"2022-06-17";"14:15:00";"V17";"7flkk";"E-R6";"Breiðablik 8";"UMFS Dalvík 2";"8"
"E-R6-U5-L4vsL2";"2022-06-17";"14:45:00";"V18";"7flkk";"E-R6";"Stjarnan 10";"Breiðablik 8";"8"
"F-R3-U1-L2vsL5";"2022-06-17";"15:15:00";"V15";"7flkk";"F-R3";"Keflavík 6";"Breiðablik 9";"9"
"F-R3-U2-L5vsL3";"2022-06-17";"15:45:00";"V16";"7flkk";"F-R3";"Breiðablik 9";"ÍA 6";"9"
"F-R3-U3-L4vsL5";"2022-06-17";"16:15:00";"V16";"7flkk";"F-R3";"Stjarnan 12";"Breiðablik 9";"9"
"F-R3-U5-L5vsL1";"2022-06-17";"17:15:00";"V15";"7flkk";"F-R3";"Breiðablik 9";"VíkingurR 7";"9"
