"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R3-U2-L1vsL2";"2022-06-17";"13:00:00";"V3";"7flkk";"A-R3";"FH 1";"Þróttur R 1";"1"
"A-R3-U3-L3vsL1";"2022-06-17";"13:30:00";"V3";"7flkk";"A-R3";"Grindavík 1";"FH 1";"1"
"A-R3-U4-L1vsL4";"2022-06-17";"14:00:00";"V4";"7flkk";"A-R3";"FH 1";"Breiðablik 1";"1"
"A-R3-U5-L5vsL1";"2022-06-17";"14:30:00";"V3";"7flkk";"A-R3";"KA 1";"FH 1";"1"
"B-R3-U2-L1vsL2";"2022-06-17";"15:45:00";"V3";"7flkk";"B-R3";"FH 2";"Álftanes 1";"2"
"B-R3-U3-L3vsL1";"2022-06-17";"16:15:00";"V3";"7flkk";"B-R3";"Stjarnan 4";"FH 2";"2"
"B-R3-U4-L1vsL4";"2022-06-17";"16:45:00";"V4";"7flkk";"B-R3";"FH 2";"Grótta 2";"2"
"B-R3-U5-L5vsL1";"2022-06-17";"17:15:00";"V3";"7flkk";"B-R3";"Njarðvík 1";"FH 2";"2"
"C-R2-U1-L3vsL4";"2022-06-17";"15:30:00";"V8";"7flkk";"C-R2";"FH 3";"KA 3";"3"
"C-R2-U2-L5vsL3";"2022-06-17";"16:00:00";"V8";"7flkk";"C-R2";"Reynir/Víðir 1";"FH 3";"3"
"C-R2-U3-L3vsL1";"2022-06-17";"16:30:00";"V7";"7flkk";"C-R2";"FH 3";"Selfoss 2";"3"
"C-R2-U4-L2vsL3";"2022-06-17";"17:00:00";"V7";"7flkk";"C-R2";"Stjarnan 7";"FH 3";"3"
"E-R5-U1-L3vsL4";"2022-06-17";"12:30:00";"V18";"7flkk";"E-R5";"FH 4";"VíkingurR 6";"4"
"E-R5-U2-L5vsL3";"2022-06-17";"13:00:00";"V18";"7flkk";"E-R5";"Valur 4";"FH 4";"4"
"E-R5-U3-L3vsL1";"2022-06-17";"13:30:00";"V17";"7flkk";"E-R5";"FH 4";"Breiðablik 7";"4"
"E-R5-U4-L2vsL3";"2022-06-17";"14:00:00";"V17";"7flkk";"E-R5";"ÍA 4";"FH 4";"4"
"F-R2-U1-L2vsL5";"2022-06-17";"15:30:00";"V13";"7flkk";"F-R2";"FH 5";"Reynir/Víðir 2";"5"
"F-R2-U2-L1vsL2";"2022-06-17";"16:00:00";"V13";"7flkk";"F-R2";"KR 10";"FH 5";"5"
"F-R2-U4-L2vsL3";"2022-06-17";"17:00:00";"V13";"7flkk";"F-R2";"FH 5";"Vestri 2";"5"
"F-R2-U5-L4vsL2";"2022-06-17";"17:30:00";"V14";"7flkk";"F-R2";"Njarðvík 5";"FH 5";"5"
"F-R6-U1-L2vsL5";"2022-06-17";"15:30:00";"V17";"7flkk";"F-R6";"ÍR 4";"FH 6";"6"
"F-R6-U2-L5vsL3";"2022-06-17";"16:00:00";"V18";"7flkk";"F-R6";"FH 6";"Þór Ak.";"6"
"F-R6-U3-L4vsL5";"2022-06-17";"16:30:00";"V18";"7flkk";"F-R6";"Afturelding 7";"FH 6";"6"
"F-R6-U5-L5vsL1";"2022-06-17";"17:30:00";"V17";"7flkk";"F-R6";"FH 6";"Grótta 5";"6"
"G-R1-U1-L2vsL5";"2022-06-17";"12:30:00";"V19";"7flkk";"G-R1";"KR 12";"FH 7";"7"
"G-R1-U2-L5vsL3";"2022-06-17";"13:00:00";"V20";"7flkk";"G-R1";"FH 7";"Snæfellsnes 3";"7"
"G-R1-U3-L4vsL5";"2022-06-17";"13:30:00";"V20";"7flkk";"G-R1";"ÍA 7";"FH 7";"7"
"G-R1-U5-L5vsL1";"2022-06-17";"14:30:00";"V19";"7flkk";"G-R1";"FH 7";"VíkingurR 8";"7"
"G-R3-U1-L3vsL4";"2022-06-17";"12:30:00";"V6";"7flkk";"G-R3";"Haukar 5";"FH 8";"8"
"G-R3-U3-L4vsL5";"2022-06-17";"13:30:00";"V6";"7flkk";"G-R3";"FH 8";"Njarðvík 6";"8"
"G-R3-U4-L1vsL4";"2022-06-17";"14:00:00";"V6";"7flkk";"G-R3";"Tindastóll 2";"FH 8";"8"
"G-R3-U5-L4vsL2";"2022-06-17";"14:30:00";"V6";"7flkk";"G-R3";"FH 8";"Keflavík 7";"8"
