"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R2-U1-L2vsL5";"2022-06-17";"12:45:00";"V1";"7flkk";"A-R2";"Fjölnir 1";"Afturelding 1";"1"
"A-R2-U2-L1vsL2";"2022-06-17";"13:15:00";"V1";"7flkk";"A-R2";"Stjarnan 1";"Fjölnir 1";"1"
"A-R2-U4-L2vsL3";"2022-06-17";"14:15:00";"V1";"7flkk";"A-R2";"Fjölnir 1";"Selfoss 1";"1"
"A-R2-U5-L4vsL2";"2022-06-17";"14:45:00";"V2";"7flkk";"A-R2";"Þór Ak.";"Fjölnir 1";"1"
"G-R2-U1-L2vsL5";"2022-06-17";"12:45:00";"V19";"7flkk";"G-R2";"HK 6";"Fjölnir 10";"10"
"G-R2-U2-L5vsL3";"2022-06-17";"13:15:00";"V20";"7flkk";"G-R2";"Fjölnir 10";"ÍBV 6";"10"
"G-R2-U3-L4vsL5";"2022-06-17";"13:45:00";"V20";"7flkk";"G-R2";"Þór Ak.";"Fjölnir 10";"10"
"G-R2-U5-L5vsL1";"2022-06-17";"14:45:00";"V19";"7flkk";"G-R2";"Fjölnir 10";"Selfoss 3";"10"
"G-R5-U1-L2vsL5";"2022-06-17";"12:30:00";"V11";"7flkk";"G-R5";"Fjölnir 11";"Keflavík 8";"11"
"G-R5-U2-L1vsL2";"2022-06-17";"13:00:00";"V11";"7flkk";"G-R5";"Hamar 3";"Fjölnir 11";"11"
"G-R5-U4-L2vsL3";"2022-06-17";"14:00:00";"V11";"7flkk";"G-R5";"Fjölnir 11";"Haukar 4";"11"
"G-R5-U5-L4vsL2";"2022-06-17";"14:30:00";"V12";"7flkk";"G-R5";"ÍR 5";"Fjölnir 11";"11"
"B-R6-U1-L2vsL5";"2022-06-17";"15:30:00";"V5";"7flkk";"B-R6";"Breiðablik 3";"Fjölnir 2";"2"
"B-R6-U2-L5vsL3";"2022-06-17";"16:00:00";"V6";"7flkk";"B-R6";"Fjölnir 2";"KR 2";"2"
"B-R6-U3-L4vsL5";"2022-06-17";"16:30:00";"V6";"7flkk";"B-R6";"UMFS Dalvík 1";"Fjölnir 2";"2"
"B-R6-U5-L5vsL1";"2022-06-17";"17:30:00";"V5";"7flkk";"B-R6";"Fjölnir 2";"ÍBV 2";"2"
"C-R4-U1-L2vsL5";"2022-06-17";"15:30:00";"V9";"7flkk";"C-R4";"Fjölnir 3";"Grindavík 2";"3"
"C-R4-U2-L1vsL2";"2022-06-17";"16:00:00";"V9";"7flkk";"C-R4";"HK 2";"Fjölnir 3";"3"
"C-R4-U4-L2vsL3";"2022-06-17";"17:00:00";"V9";"7flkk";"C-R4";"Fjölnir 3";"Fylkir 3";"3"
"C-R4-U5-L4vsL2";"2022-06-17";"17:30:00";"V10";"7flkk";"C-R4";"ÍR 2";"Fjölnir 3";"3"
"D-R4-U1-L3vsL4";"2022-06-17";"12:45:00";"V10";"7flkk";"D-R4";"Snæfellsnes 2";"Fjölnir 4";"4"
