"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R1-U1-L2vsL5";"2022-06-17";"12:30:00";"V1";"7flkk";"A-R1";"Fram 1";"Fylkir 1";"1"
"A-R1-U2-L1vsL2";"2022-06-17";"13:00:00";"V1";"7flkk";"A-R1";"ÍA 1";"Fram 1";"1"
"A-R1-U4-L2vsL3";"2022-06-17";"14:00:00";"V1";"7flkk";"A-R1";"Fram 1";"Valur 1";"1"
"A-R1-U5-L4vsL2";"2022-06-17";"14:30:00";"V2";"7flkk";"A-R1";"HK 1";"Fram 1";"1"
"C-R5-U1-L3vsL4";"2022-06-17";"15:15:00";"V12";"7flkk";"C-R5";"Valur 3";"Fram 2";"2"
"C-R5-U3-L4vsL5";"2022-06-17";"16:15:00";"V12";"7flkk";"C-R5";"Fram 2";"KF 1";"2"
"C-R5-U4-L1vsL4";"2022-06-17";"16:45:00";"V12";"7flkk";"C-R5";"Afturelding 2";"Fram 2";"2"
"C-R5-U5-L4vsL2";"2022-06-17";"17:15:00";"V12";"7flkk";"C-R5";"Fram 2";"Breiðablik 4";"2"
"F-R5-U1-L3vsL4";"2022-06-17";"15:15:00";"V18";"7flkk";"F-R5";"Fram 3";"Fjölnir 8";"3"
"F-R5-U2-L5vsL3";"2022-06-17";"15:45:00";"V18";"7flkk";"F-R5";"Afturelding 6";"Fram 3";"3"
"F-R5-U3-L3vsL1";"2022-06-17";"16:15:00";"V17";"7flkk";"F-R5";"Fram 3";"Þróttur R 7";"3"
"F-R5-U4-L2vsL3";"2022-06-17";"16:45:00";"V17";"7flkk";"F-R5";"HK 4";"Fram 3";"3"
