"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R1-U1-L2vsL5";"2022-06-17";"12:30:00";"V1";"7flkk";"A-R1";"Fram 1";"Fylkir 1";"1"
"A-R1-U2-L5vsL3";"2022-06-17";"13:00:00";"V2";"7flkk";"A-R1";"Fylkir 1";"Valur 1";"1"
"A-R1-U3-L4vsL5";"2022-06-17";"13:30:00";"V2";"7flkk";"A-R1";"HK 1";"Fylkir 1";"1"
"A-R1-U5-L5vsL1";"2022-06-17";"14:30:00";"V1";"7flkk";"A-R1";"Fylkir 1";"ÍA 1";"1"
"B-R5-U1-L2vsL5";"2022-06-17";"15:15:00";"V5";"7flkk";"B-R5";"Völsungur 1";"Fylkir 2";"2"
"B-R5-U2-L5vsL3";"2022-06-17";"15:45:00";"V6";"7flkk";"B-R5";"Fylkir 2";"Þróttur R 3";"2"
"B-R5-U3-L4vsL5";"2022-06-17";"16:15:00";"V6";"7flkk";"B-R5";"Hamar 1";"Fylkir 2";"2"
"B-R5-U5-L5vsL1";"2022-06-17";"17:15:00";"V5";"7flkk";"B-R5";"Fylkir 2";"ÍA 2";"2"
"C-R4-U1-L3vsL4";"2022-06-17";"15:30:00";"V10";"7flkk";"C-R4";"Fylkir 3";"ÍR 2";"3"
"C-R4-U2-L5vsL3";"2022-06-17";"16:00:00";"V10";"7flkk";"C-R4";"Grindavík 2";"Fylkir 3";"3"
"C-R4-U3-L3vsL1";"2022-06-17";"16:30:00";"V9";"7flkk";"C-R4";"Fylkir 3";"HK 2";"3"
"C-R4-U4-L2vsL3";"2022-06-17";"17:00:00";"V9";"7flkk";"C-R4";"Fjölnir 3";"Fylkir 3";"3"
"D-R2-U1-L3vsL4";"2022-06-17";"12:45:00";"V8";"7flkk";"D-R2";"Fylkir 4";"Vestri 1";"4"
"D-R2-U2-L5vsL3";"2022-06-17";"13:15:00";"V8";"7flkk";"D-R2";"Stjarnan 8";"Fylkir 4";"4"
"D-R2-U3-L3vsL1";"2022-06-17";"13:45:00";"V7";"7flkk";"D-R2";"Fylkir 4";"Fjölnir 5";"4"
"D-R2-U4-L2vsL3";"2022-06-17";"14:15:00";"V7";"7flkk";"D-R2";"Haukar 2";"Fylkir 4";"4"
"E-R1-U1-L3vsL4";"2022-06-17";"12:30:00";"V14";"7flkk";"E-R1";"Þór Ak.";"Fylkir 5";"5"
"E-R1-U3-L4vsL5";"2022-06-17";"13:30:00";"V14";"7flkk";"E-R1";"Fylkir 5";"VíkingurR 5";"5"
"E-R1-U4-L1vsL4";"2022-06-17";"14:00:00";"V14";"7flkk";"E-R1";"Álftanes 2";"Fylkir 5";"5"
"E-R1-U5-L4vsL2";"2022-06-17";"14:30:00";"V14";"7flkk";"E-R1";"Fylkir 5";"Valur 5";"5"
"F-R4-U1-L3vsL4";"2022-06-17";"15:30:00";"V16";"7flkk";"F-R4";"Ægir 1";"Fylkir 6";"6"
"F-R4-U3-L4vsL5";"2022-06-17";"16:30:00";"V16";"7flkk";"F-R4";"Fylkir 6";"Grindavík 6";"6"
"F-R4-U4-L1vsL4";"2022-06-17";"17:00:00";"V16";"7flkk";"F-R4";"ÍBV 5";"Fylkir 6";"6"
"F-R4-U5-L4vsL2";"2022-06-17";"17:30:00";"V16";"7flkk";"F-R4";"Fylkir 6";"Breiðablik 10";"6"
"G-R4-U1-L2vsL5";"2022-06-17";"12:45:00";"V5";"7flkk";"G-R4";"ÍA 8";"Fylkir 7";"7"
"G-R4-U2-L5vsL3";"2022-06-17";"13:15:00";"V6";"7flkk";"G-R4";"Fylkir 7";"VíkingurR 9";"7"
"G-R4-U3-L4vsL5";"2022-06-17";"13:45:00";"V6";"7flkk";"G-R4";"Afturelding 9";"Fylkir 7";"7"
"G-R4-U5-L5vsL1";"2022-06-17";"14:45:00";"V5";"7flkk";"G-R4";"Fylkir 7";"KF 2";"7"
