"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R3-U1-L3vsL4";"2022-06-17";"12:30:00";"V4";"7flkk";"A-R3";"Grindavík 1";"Breiðablik 1";"1"
"A-R3-U2-L5vsL3";"2022-06-17";"13:00:00";"V4";"7flkk";"A-R3";"KA 1";"Grindavík 1";"1"
"A-R3-U3-L3vsL1";"2022-06-17";"13:30:00";"V3";"7flkk";"A-R3";"Grindavík 1";"FH 1";"1"
"A-R3-U4-L2vsL3";"2022-06-17";"14:00:00";"V3";"7flkk";"A-R3";"Þróttur R 1";"Grindavík 1";"1"
"C-R4-U1-L2vsL5";"2022-06-17";"15:30:00";"V9";"7flkk";"C-R4";"Fjölnir 3";"Grindavík 2";"2"
"C-R4-U2-L5vsL3";"2022-06-17";"16:00:00";"V10";"7flkk";"C-R4";"Grindavík 2";"Fylkir 3";"2"
"C-R4-U3-L4vsL5";"2022-06-17";"16:30:00";"V10";"7flkk";"C-R4";"ÍR 2";"Grindavík 2";"2"
"C-R4-U5-L5vsL1";"2022-06-17";"17:30:00";"V9";"7flkk";"C-R4";"Grindavík 2";"HK 2";"2"
"D-R4-U2-L1vsL2";"2022-06-17";"13:15:00";"V9";"7flkk";"D-R4";"Grindavík 3";"Skallagrímur 2";"3"
"D-R4-U3-L3vsL1";"2022-06-17";"13:45:00";"V9";"7flkk";"D-R4";"Snæfellsnes 2";"Grindavík 3";"3"
"D-R4-U4-L1vsL4";"2022-06-17";"14:15:00";"V10";"7flkk";"D-R4";"Grindavík 3";"Fjölnir 4";"3"
"D-R4-U5-L5vsL1";"2022-06-17";"14:45:00";"V9";"7flkk";"D-R4";"Þróttur R 5";"Grindavík 3";"3"
"E-R4-U2-L1vsL2";"2022-06-17";"13:15:00";"V15";"7flkk";"E-R4";"Grindavík 4";"Grótta 4";"4"
"E-R4-U3-L3vsL1";"2022-06-17";"13:45:00";"V15";"7flkk";"E-R4";"HK 3";"Grindavík 4";"4"
"E-R4-U4-L1vsL4";"2022-06-17";"14:15:00";"V16";"7flkk";"E-R4";"Grindavík 4";"Völsungur 2";"4"
"E-R4-U5-L5vsL1";"2022-06-17";"14:45:00";"V15";"7flkk";"E-R4";"Þróttur R 6";"Grindavík 4";"4"
"E-R2-U1-L3vsL4";"2022-06-17";"12:45:00";"V14";"7flkk";"E-R2";"Grindavík 5";"Fjölnir 7";"5"
"E-R2-U2-L5vsL3";"2022-06-17";"13:15:00";"V14";"7flkk";"E-R2";"KR 8";"Grindavík 5";"5"
"E-R2-U3-L3vsL1";"2022-06-17";"13:45:00";"V13";"7flkk";"E-R2";"Grindavík 5";"Haukar 3";"5"
"E-R2-U4-L2vsL3";"2022-06-17";"14:15:00";"V13";"7flkk";"E-R2";"Njarðvík 4";"Grindavík 5";"5"
"F-R4-U1-L2vsL5";"2022-06-17";"15:30:00";"V15";"7flkk";"F-R4";"Breiðablik 10";"Grindavík 6";"6"
"F-R4-U2-L5vsL3";"2022-06-17";"16:00:00";"V16";"7flkk";"F-R4";"Grindavík 6";"Ægir 1";"6"
"F-R4-U3-L4vsL5";"2022-06-17";"16:30:00";"V16";"7flkk";"F-R4";"Fylkir 6";"Grindavík 6";"6"
"F-R4-U5-L5vsL1";"2022-06-17";"17:30:00";"V15";"7flkk";"F-R4";"Grindavík 6";"ÍBV 5";"6"
"G-R6-U2-L1vsL2";"2022-06-17";"13:15:00";"V11";"7flkk";"G-R6";"Grindavík 7";"Afturelding 8";"7"
"G-R6-U3-L3vsL1";"2022-06-17";"13:45:00";"V11";"7flkk";"G-R6";"KR 11";"Grindavík 7";"7"
"G-R6-U4-L1vsL4";"2022-06-17";"14:15:00";"V12";"7flkk";"G-R6";"Grindavík 7";"Grótta 6";"7"
"G-R6-U5-L5vsL1";"2022-06-17";"14:45:00";"V11";"7flkk";"G-R6";"Völsungur 3";"Grindavík 7";"7"
