"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R4-U2-L1vsL2";"2022-06-17";"13:15:00";"V3";"7flkk";"A-R4";"Grótta 1";"ÍBV 1";"1"
"A-R4-U3-L3vsL1";"2022-06-17";"13:45:00";"V3";"7flkk";"A-R4";"VíkingurR 1";"Grótta 1";"1"
"A-R4-U4-L1vsL4";"2022-06-17";"14:15:00";"V4";"7flkk";"A-R4";"Grótta 1";"KR 1";"1"
"A-R4-U5-L5vsL1";"2022-06-17";"14:45:00";"V3";"7flkk";"A-R4";"Keflavík 1";"Grótta 1";"1"
"B-R3-U1-L3vsL4";"2022-06-17";"15:15:00";"V4";"7flkk";"B-R3";"Stjarnan 4";"Grótta 2";"2"
"B-R3-U3-L4vsL5";"2022-06-17";"16:15:00";"V4";"7flkk";"B-R3";"Grótta 2";"Njarðvík 1";"2"
"B-R3-U4-L1vsL4";"2022-06-17";"16:45:00";"V4";"7flkk";"B-R3";"FH 2";"Grótta 2";"2"
"B-R3-U5-L4vsL2";"2022-06-17";"17:15:00";"V4";"7flkk";"B-R3";"Grótta 2";"Álftanes 1";"2"
"C-R1-U1-L3vsL4";"2022-06-17";"15:15:00";"V8";"7flkk";"C-R1";"ÍA 3";"Grótta 3";"3"
"C-R1-U3-L4vsL5";"2022-06-17";"16:15:00";"V8";"7flkk";"C-R1";"Grótta 3";"KR 5";"3"
"C-R1-U4-L1vsL4";"2022-06-17";"16:45:00";"V8";"7flkk";"C-R1";"Þróttur R 4";"Grótta 3";"3"
"C-R1-U5-L4vsL2";"2022-06-17";"17:15:00";"V8";"7flkk";"C-R1";"Grótta 3";"VíkingurR 3";"3"
"E-R4-U1-L2vsL5";"2022-06-17";"12:45:00";"V15";"7flkk";"E-R4";"Grótta 4";"Þróttur R 6";"4"
"E-R4-U2-L1vsL2";"2022-06-17";"13:15:00";"V15";"7flkk";"E-R4";"Grindavík 4";"Grótta 4";"4"
"E-R4-U4-L2vsL3";"2022-06-17";"14:15:00";"V15";"7flkk";"E-R4";"Grótta 4";"HK 3";"4"
"E-R4-U5-L4vsL2";"2022-06-17";"14:45:00";"V16";"7flkk";"E-R4";"Völsungur 2";"Grótta 4";"4"
"F-R6-U2-L1vsL2";"2022-06-17";"16:00:00";"V17";"7flkk";"F-R6";"Grótta 5";"ÍR 4";"5"
"F-R6-U3-L3vsL1";"2022-06-17";"16:30:00";"V17";"7flkk";"F-R6";"Þór Ak.";"Grótta 5";"5"
"F-R6-U4-L1vsL4";"2022-06-17";"17:00:00";"V18";"7flkk";"F-R6";"Grótta 5";"Afturelding 7";"5"
"F-R6-U5-L5vsL1";"2022-06-17";"17:30:00";"V17";"7flkk";"F-R6";"FH 6";"Grótta 5";"5"
"G-R6-U1-L3vsL4";"2022-06-17";"12:45:00";"V12";"7flkk";"G-R6";"KR 11";"Grótta 6";"6"
"G-R6-U3-L4vsL5";"2022-06-17";"13:45:00";"V12";"7flkk";"G-R6";"Grótta 6";"Völsungur 3";"6"
"G-R6-U4-L1vsL4";"2022-06-17";"14:15:00";"V12";"7flkk";"G-R6";"Grindavík 7";"Grótta 6";"6"
"G-R6-U5-L4vsL2";"2022-06-17";"14:45:00";"V12";"7flkk";"G-R6";"Grótta 6";"Afturelding 8";"6"
