"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R1-U1-L3vsL4";"2022-06-17";"12:30:00";"V2";"7flkk";"A-R1";"Valur 1";"HK 1";"1"
"A-R1-U3-L4vsL5";"2022-06-17";"13:30:00";"V2";"7flkk";"A-R1";"HK 1";"Fylkir 1";"1"
"A-R1-U4-L1vsL4";"2022-06-17";"14:00:00";"V2";"7flkk";"A-R1";"ÍA 1";"HK 1";"1"
"A-R1-U5-L4vsL2";"2022-06-17";"14:30:00";"V2";"7flkk";"A-R1";"HK 1";"Fram 1";"1"
"C-R4-U2-L1vsL2";"2022-06-17";"16:00:00";"V9";"7flkk";"C-R4";"HK 2";"Fjölnir 3";"2"
"C-R4-U3-L3vsL1";"2022-06-17";"16:30:00";"V9";"7flkk";"C-R4";"Fylkir 3";"HK 2";"2"
"C-R4-U4-L1vsL4";"2022-06-17";"17:00:00";"V10";"7flkk";"C-R4";"HK 2";"ÍR 2";"2"
"C-R4-U5-L5vsL1";"2022-06-17";"17:30:00";"V9";"7flkk";"C-R4";"Grindavík 2";"HK 2";"2"
"E-R4-U1-L3vsL4";"2022-06-17";"12:45:00";"V16";"7flkk";"E-R4";"HK 3";"Völsungur 2";"3"
"E-R4-U2-L5vsL3";"2022-06-17";"13:15:00";"V16";"7flkk";"E-R4";"Þróttur R 6";"HK 3";"3"
"E-R4-U3-L3vsL1";"2022-06-17";"13:45:00";"V15";"7flkk";"E-R4";"HK 3";"Grindavík 4";"3"
"E-R4-U4-L2vsL3";"2022-06-17";"14:15:00";"V15";"7flkk";"E-R4";"Grótta 4";"HK 3";"3"
"F-R5-U1-L2vsL5";"2022-06-17";"15:15:00";"V17";"7flkk";"F-R5";"HK 4";"Afturelding 6";"4"
"F-R5-U2-L1vsL2";"2022-06-17";"15:45:00";"V17";"7flkk";"F-R5";"Þróttur R 7";"HK 4";"4"
"F-R5-U4-L2vsL3";"2022-06-17";"16:45:00";"V17";"7flkk";"F-R5";"HK 4";"Fram 3";"4"
"F-R5-U5-L4vsL2";"2022-06-17";"17:15:00";"V18";"7flkk";"F-R5";"Fjölnir 8";"HK 4";"4"
"F-R1-U1-L2vsL5";"2022-06-17";"15:15:00";"V13";"7flkk";"F-R1";"HK 5";"Breiðablik 11";"5"
"F-R1-U2-L1vsL2";"2022-06-17";"15:45:00";"V13";"7flkk";"F-R1";"Fjölnir 9";"HK 5";"5"
"F-R1-U4-L2vsL3";"2022-06-17";"16:45:00";"V13";"7flkk";"F-R1";"HK 5";"Valur 6";"5"
"F-R1-U5-L4vsL2";"2022-06-17";"17:15:00";"V14";"7flkk";"F-R1";"KR 9";"HK 5";"5"
"G-R2-U1-L2vsL5";"2022-06-17";"12:45:00";"V19";"7flkk";"G-R2";"HK 6";"Fjölnir 10";"6"
"G-R2-U2-L1vsL2";"2022-06-17";"13:15:00";"V19";"7flkk";"G-R2";"Selfoss 3";"HK 6";"6"
"G-R2-U4-L2vsL3";"2022-06-17";"14:15:00";"V19";"7flkk";"G-R2";"HK 6";"ÍBV 6";"6"
"G-R2-U5-L4vsL2";"2022-06-17";"14:45:00";"V20";"7flkk";"G-R2";"Þór Ak.";"HK 6";"6"
