"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"B-R5-U1-L3vsL4";"2022-06-17";"15:15:00";"V6";"7flkk";"B-R5";"Þróttur R 3";"Hamar 1";"1"
"B-R5-U3-L4vsL5";"2022-06-17";"16:15:00";"V6";"7flkk";"B-R5";"Hamar 1";"Fylkir 2";"1"
"B-R5-U4-L1vsL4";"2022-06-17";"16:45:00";"V6";"7flkk";"B-R5";"ÍA 2";"Hamar 1";"1"
"B-R5-U5-L4vsL2";"2022-06-17";"17:15:00";"V6";"7flkk";"B-R5";"Hamar 1";"Völsungur 1";"1"
"D-R3-U1-L3vsL4";"2022-06-17";"12:30:00";"V10";"7flkk";"D-R3";"Hamar 2";"VíkingurR 4";"2"
"D-R3-U2-L5vsL3";"2022-06-17";"13:00:00";"V10";"7flkk";"D-R3";"ÍBV 3";"Hamar 2";"2"
"D-R3-U3-L3vsL1";"2022-06-17";"13:30:00";"V9";"7flkk";"D-R3";"Hamar 2";"Stjarnan 9";"2"
"D-R3-U4-L2vsL3";"2022-06-17";"14:00:00";"V9";"7flkk";"D-R3";"ÍR 3";"Hamar 2";"2"
"G-R5-U2-L1vsL2";"2022-06-17";"13:00:00";"V11";"7flkk";"G-R5";"Hamar 3";"Fjölnir 11";"3"
"G-R5-U3-L3vsL1";"2022-06-17";"13:30:00";"V11";"7flkk";"G-R5";"Haukar 4";"Hamar 3";"3"
"G-R5-U4-L1vsL4";"2022-06-17";"14:00:00";"V12";"7flkk";"G-R5";"Hamar 3";"ÍR 5";"3"
"G-R5-U5-L5vsL1";"2022-06-17";"14:30:00";"V11";"7flkk";"G-R5";"Keflavík 8";"Hamar 3";"3"
