"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"B-R4-U1-L2vsL5";"2022-06-17";"15:30:00";"V3";"7flkk";"B-R4";"Skallagrímur 1";"Haukar 1";"1"
"B-R4-U2-L5vsL3";"2022-06-17";"16:00:00";"V4";"7flkk";"B-R4";"Haukar 1";"Tindastóll 1";"1"
"B-R4-U3-L4vsL5";"2022-06-17";"16:30:00";"V4";"7flkk";"B-R4";"KR 4";"Haukar 1";"1"
"B-R4-U5-L5vsL1";"2022-06-17";"17:30:00";"V3";"7flkk";"B-R4";"Haukar 1";"Stjarnan 3";"1"
"D-R2-U1-L2vsL5";"2022-06-17";"12:45:00";"V7";"7flkk";"D-R2";"Haukar 2";"Stjarnan 8";"2"
"D-R2-U2-L1vsL2";"2022-06-17";"13:15:00";"V7";"7flkk";"D-R2";"Fjölnir 5";"Haukar 2";"2"
"D-R2-U4-L2vsL3";"2022-06-17";"14:15:00";"V7";"7flkk";"D-R2";"Haukar 2";"Fylkir 4";"2"
"D-R2-U5-L4vsL2";"2022-06-17";"14:45:00";"V8";"7flkk";"D-R2";"Vestri 1";"Haukar 2";"2"
"E-R2-U2-L1vsL2";"2022-06-17";"13:15:00";"V13";"7flkk";"E-R2";"Haukar 3";"Njarðvík 4";"3"
"E-R2-U3-L3vsL1";"2022-06-17";"13:45:00";"V13";"7flkk";"E-R2";"Grindavík 5";"Haukar 3";"3"
"E-R2-U4-L1vsL4";"2022-06-17";"14:15:00";"V14";"7flkk";"E-R2";"Haukar 3";"Fjölnir 7";"3"
"E-R2-U5-L5vsL1";"2022-06-17";"14:45:00";"V13";"7flkk";"E-R2";"KR 8";"Haukar 3";"3"
"G-R5-U1-L3vsL4";"2022-06-17";"12:30:00";"V12";"7flkk";"G-R5";"Haukar 4";"ÍR 5";"4"
"G-R5-U2-L5vsL3";"2022-06-17";"13:00:00";"V12";"7flkk";"G-R5";"Keflavík 8";"Haukar 4";"4"
"G-R5-U3-L3vsL1";"2022-06-17";"13:30:00";"V11";"7flkk";"G-R5";"Haukar 4";"Hamar 3";"4"
"G-R5-U4-L2vsL3";"2022-06-17";"14:00:00";"V11";"7flkk";"G-R5";"Fjölnir 11";"Haukar 4";"4"
"G-R3-U1-L3vsL4";"2022-06-17";"12:30:00";"V6";"7flkk";"G-R3";"Haukar 5";"FH 8";"5"
"G-R3-U2-L5vsL3";"2022-06-17";"13:00:00";"V6";"7flkk";"G-R3";"Njarðvík 6";"Haukar 5";"5"
"G-R3-U3-L3vsL1";"2022-06-17";"13:30:00";"V5";"7flkk";"G-R3";"Haukar 5";"Tindastóll 2";"5"
"G-R3-U4-L2vsL3";"2022-06-17";"14:00:00";"V5";"7flkk";"G-R3";"Keflavík 7";"Haukar 5";"5"
