"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R1-U2-L1vsL2";"2022-06-17";"13:00:00";"V1";"7flkk";"A-R1";"ÍA 1";"Fram 1";"1"
"A-R1-U3-L3vsL1";"2022-06-17";"13:30:00";"V1";"7flkk";"A-R1";"Valur 1";"ÍA 1";"1"
"A-R1-U4-L1vsL4";"2022-06-17";"14:00:00";"V2";"7flkk";"A-R1";"ÍA 1";"HK 1";"1"
"A-R1-U5-L5vsL1";"2022-06-17";"14:30:00";"V1";"7flkk";"A-R1";"Fylkir 1";"ÍA 1";"1"
"B-R5-U2-L1vsL2";"2022-06-17";"15:45:00";"V5";"7flkk";"B-R5";"ÍA 2";"Völsungur 1";"2"
"B-R5-U3-L3vsL1";"2022-06-17";"16:15:00";"V5";"7flkk";"B-R5";"Þróttur R 3";"ÍA 2";"2"
"B-R5-U4-L1vsL4";"2022-06-17";"16:45:00";"V6";"7flkk";"B-R5";"ÍA 2";"Hamar 1";"2"
"B-R5-U5-L5vsL1";"2022-06-17";"17:15:00";"V5";"7flkk";"B-R5";"Fylkir 2";"ÍA 2";"2"
"C-R1-U1-L3vsL4";"2022-06-17";"15:15:00";"V8";"7flkk";"C-R1";"ÍA 3";"Grótta 3";"3"
"C-R1-U2-L5vsL3";"2022-06-17";"15:45:00";"V8";"7flkk";"C-R1";"KR 5";"ÍA 3";"3"
"C-R1-U3-L3vsL1";"2022-06-17";"16:15:00";"V7";"7flkk";"C-R1";"ÍA 3";"Þróttur R 4";"3"
"C-R1-U4-L2vsL3";"2022-06-17";"16:45:00";"V7";"7flkk";"C-R1";"VíkingurR 3";"ÍA 3";"3"
"E-R5-U1-L2vsL5";"2022-06-17";"12:30:00";"V17";"7flkk";"E-R5";"ÍA 4";"Valur 4";"4"
"E-R5-U2-L1vsL2";"2022-06-17";"13:00:00";"V17";"7flkk";"E-R5";"Breiðablik 7";"ÍA 4";"4"
"E-R5-U4-L2vsL3";"2022-06-17";"14:00:00";"V17";"7flkk";"E-R5";"ÍA 4";"FH 4";"4"
"E-R5-U5-L4vsL2";"2022-06-17";"14:30:00";"V18";"7flkk";"E-R5";"VíkingurR 6";"ÍA 4";"4"
"E-R6-U2-L1vsL2";"2022-06-17";"13:15:00";"V17";"7flkk";"E-R6";"ÍA 5";"Breiðablik 8";"5"
"E-R6-U3-L3vsL1";"2022-06-17";"13:45:00";"V17";"7flkk";"E-R6";"UMFS Dalvík 2";"ÍA 5";"5"
"E-R6-U4-L1vsL4";"2022-06-17";"14:15:00";"V18";"7flkk";"E-R6";"ÍA 5";"Stjarnan 10";"5"
"E-R6-U5-L5vsL1";"2022-06-17";"14:45:00";"V17";"7flkk";"E-R6";"Keflavík 5";"ÍA 5";"5"
"F-R3-U1-L3vsL4";"2022-06-17";"15:15:00";"V16";"7flkk";"F-R3";"ÍA 6";"Stjarnan 12";"6"
"F-R3-U2-L5vsL3";"2022-06-17";"15:45:00";"V16";"7flkk";"F-R3";"Breiðablik 9";"ÍA 6";"6"
"F-R3-U3-L3vsL1";"2022-06-17";"16:15:00";"V15";"7flkk";"F-R3";"ÍA 6";"VíkingurR 7";"6"
"F-R3-U4-L2vsL3";"2022-06-17";"16:45:00";"V15";"7flkk";"F-R3";"Keflavík 6";"ÍA 6";"6"
"G-R1-U1-L3vsL4";"2022-06-17";"12:30:00";"V20";"7flkk";"G-R1";"Snæfellsnes 3";"ÍA 7";"7"
"G-R1-U3-L4vsL5";"2022-06-17";"13:30:00";"V20";"7flkk";"G-R1";"ÍA 7";"FH 7";"7"
"G-R1-U4-L1vsL4";"2022-06-17";"14:00:00";"V20";"7flkk";"G-R1";"VíkingurR 8";"ÍA 7";"7"
"G-R1-U5-L4vsL2";"2022-06-17";"14:30:00";"V20";"7flkk";"G-R1";"ÍA 7";"KR 12";"7"
"G-R4-U1-L2vsL5";"2022-06-17";"12:45:00";"V5";"7flkk";"G-R4";"ÍA 8";"Fylkir 7";"8"
"G-R4-U2-L1vsL2";"2022-06-17";"13:15:00";"V5";"7flkk";"G-R4";"KF 2";"ÍA 8";"8"
"G-R4-U4-L2vsL3";"2022-06-17";"14:15:00";"V5";"7flkk";"G-R4";"ÍA 8";"VíkingurR 9";"8"
"G-R4-U5-L4vsL2";"2022-06-17";"14:45:00";"V6";"7flkk";"G-R4";"Afturelding 9";"ÍA 8";"8"
