"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R4-U1-L2vsL5";"2022-06-17";"12:45:00";"V3";"7flkk";"A-R4";"ÍBV 1";"Keflavík 1";"1"
"A-R4-U2-L1vsL2";"2022-06-17";"13:15:00";"V3";"7flkk";"A-R4";"Grótta 1";"ÍBV 1";"1"
"A-R4-U4-L2vsL3";"2022-06-17";"14:15:00";"V3";"7flkk";"A-R4";"ÍBV 1";"VíkingurR 1";"1"
"A-R4-U5-L4vsL2";"2022-06-17";"14:45:00";"V4";"7flkk";"A-R4";"KR 1";"ÍBV 1";"1"
"B-R6-U2-L1vsL2";"2022-06-17";"16:00:00";"V5";"7flkk";"B-R6";"ÍBV 2";"Breiðablik 3";"2"
"B-R6-U3-L3vsL1";"2022-06-17";"16:30:00";"V5";"7flkk";"B-R6";"KR 2";"ÍBV 2";"2"
"B-R6-U4-L1vsL4";"2022-06-17";"17:00:00";"V6";"7flkk";"B-R6";"ÍBV 2";"UMFS Dalvík 1";"2"
"B-R6-U5-L5vsL1";"2022-06-17";"17:30:00";"V5";"7flkk";"B-R6";"Fjölnir 2";"ÍBV 2";"2"
"D-R3-U1-L2vsL5";"2022-06-17";"12:30:00";"V9";"7flkk";"D-R3";"ÍR 3";"ÍBV 3";"3"
"D-R3-U2-L5vsL3";"2022-06-17";"13:00:00";"V10";"7flkk";"D-R3";"ÍBV 3";"Hamar 2";"3"
"D-R3-U3-L4vsL5";"2022-06-17";"13:30:00";"V10";"7flkk";"D-R3";"VíkingurR 4";"ÍBV 3";"3"
"D-R3-U5-L5vsL1";"2022-06-17";"14:30:00";"V9";"7flkk";"D-R3";"ÍBV 3";"Stjarnan 9";"3"
"E-R3-U1-L2vsL5";"2022-06-17";"12:30:00";"V15";"7flkk";"E-R3";"Afturelding 5";"ÍBV 4";"4"
"E-R3-U2-L5vsL3";"2022-06-17";"13:00:00";"V16";"7flkk";"E-R3";"ÍBV 4";"Fjölnir 6";"4"
"E-R3-U3-L4vsL5";"2022-06-17";"13:30:00";"V16";"7flkk";"E-R3";"KA 4";"ÍBV 4";"4"
"E-R3-U5-L5vsL1";"2022-06-17";"14:30:00";"V15";"7flkk";"E-R3";"ÍBV 4";"Stjarnan 11";"4"
"F-R4-U2-L1vsL2";"2022-06-17";"16:00:00";"V15";"7flkk";"F-R4";"ÍBV 5";"Breiðablik 10";"5"
"F-R4-U3-L3vsL1";"2022-06-17";"16:30:00";"V15";"7flkk";"F-R4";"Ægir 1";"ÍBV 5";"5"
"F-R4-U4-L1vsL4";"2022-06-17";"17:00:00";"V16";"7flkk";"F-R4";"ÍBV 5";"Fylkir 6";"5"
"F-R4-U5-L5vsL1";"2022-06-17";"17:30:00";"V15";"7flkk";"F-R4";"Grindavík 6";"ÍBV 5";"5"
"G-R2-U1-L3vsL4";"2022-06-17";"12:45:00";"V20";"7flkk";"G-R2";"ÍBV 6";"Þór Ak.";"6"
"G-R2-U2-L5vsL3";"2022-06-17";"13:15:00";"V20";"7flkk";"G-R2";"Fjölnir 10";"ÍBV 6";"6"
"G-R2-U3-L3vsL1";"2022-06-17";"13:45:00";"V19";"7flkk";"G-R2";"ÍBV 6";"Selfoss 3";"6"
"G-R2-U4-L2vsL3";"2022-06-17";"14:15:00";"V19";"7flkk";"G-R2";"HK 6";"ÍBV 6";"6"
