"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"B-R2-U1-L2vsL5";"2022-06-17";"15:30:00";"V1";"7flkk";"B-R2";"Snæfellsnes 1";"ÍR 1";"1"
"B-R2-U2-L5vsL3";"2022-06-17";"16:00:00";"V2";"7flkk";"B-R2";"ÍR 1";"Keflavík 2";"1"
"B-R2-U3-L4vsL5";"2022-06-17";"16:30:00";"V2";"7flkk";"B-R2";"KR 3";"ÍR 1";"1"
"B-R2-U5-L5vsL1";"2022-06-17";"17:30:00";"V1";"7flkk";"B-R2";"ÍR 1";"Breiðablik 2";"1"
"C-R4-U1-L3vsL4";"2022-06-17";"15:30:00";"V10";"7flkk";"C-R4";"Fylkir 3";"ÍR 2";"2"
"C-R4-U3-L4vsL5";"2022-06-17";"16:30:00";"V10";"7flkk";"C-R4";"ÍR 2";"Grindavík 2";"2"
"C-R4-U4-L1vsL4";"2022-06-17";"17:00:00";"V10";"7flkk";"C-R4";"HK 2";"ÍR 2";"2"
"C-R4-U5-L4vsL2";"2022-06-17";"17:30:00";"V10";"7flkk";"C-R4";"ÍR 2";"Fjölnir 3";"2"
"D-R3-U1-L2vsL5";"2022-06-17";"12:30:00";"V9";"7flkk";"D-R3";"ÍR 3";"ÍBV 3";"3"
"D-R3-U2-L1vsL2";"2022-06-17";"13:00:00";"V9";"7flkk";"D-R3";"Stjarnan 9";"ÍR 3";"3"
"D-R3-U4-L2vsL3";"2022-06-17";"14:00:00";"V9";"7flkk";"D-R3";"ÍR 3";"Hamar 2";"3"
"D-R3-U5-L4vsL2";"2022-06-17";"14:30:00";"V10";"7flkk";"D-R3";"VíkingurR 4";"ÍR 3";"3"
"F-R6-U1-L2vsL5";"2022-06-17";"15:30:00";"V17";"7flkk";"F-R6";"ÍR 4";"FH 6";"4"
"F-R6-U2-L1vsL2";"2022-06-17";"16:00:00";"V17";"7flkk";"F-R6";"Grótta 5";"ÍR 4";"4"
"F-R6-U4-L2vsL3";"2022-06-17";"17:00:00";"V17";"7flkk";"F-R6";"ÍR 4";"Þór Ak.";"4"
"F-R6-U5-L4vsL2";"2022-06-17";"17:30:00";"V18";"7flkk";"F-R6";"Afturelding 7";"ÍR 4";"4"
"G-R5-U1-L3vsL4";"2022-06-17";"12:30:00";"V12";"7flkk";"G-R5";"Haukar 4";"ÍR 5";"5"
"G-R5-U3-L4vsL5";"2022-06-17";"13:30:00";"V12";"7flkk";"G-R5";"ÍR 5";"Keflavík 8";"5"
"G-R5-U4-L1vsL4";"2022-06-17";"14:00:00";"V12";"7flkk";"G-R5";"Hamar 3";"ÍR 5";"5"
"G-R5-U5-L4vsL2";"2022-06-17";"14:30:00";"V12";"7flkk";"G-R5";"ÍR 5";"Fjölnir 11";"5"
