"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R4-U1-L3vsL4";"2022-06-17";"12:45:00";"V4";"7flkk";"A-R4";"VíkingurR 1";"KR 1";"1"
"A-R4-U3-L4vsL5";"2022-06-17";"13:45:00";"V4";"7flkk";"A-R4";"KR 1";"Keflavík 1";"1"
"A-R4-U4-L1vsL4";"2022-06-17";"14:15:00";"V4";"7flkk";"A-R4";"Grótta 1";"KR 1";"1"
"A-R4-U5-L4vsL2";"2022-06-17";"14:45:00";"V4";"7flkk";"A-R4";"KR 1";"ÍBV 1";"1"
"F-R2-U2-L1vsL2";"2022-06-17";"16:00:00";"V13";"7flkk";"F-R2";"KR 10";"FH 5";"10"
"F-R2-U3-L3vsL1";"2022-06-17";"16:30:00";"V13";"7flkk";"F-R2";"Vestri 2";"KR 10";"10"
"F-R2-U4-L1vsL4";"2022-06-17";"17:00:00";"V14";"7flkk";"F-R2";"KR 10";"Njarðvík 5";"10"
"F-R2-U5-L5vsL1";"2022-06-17";"17:30:00";"V13";"7flkk";"F-R2";"Reynir/Víðir 2";"KR 10";"10"
"G-R6-U1-L3vsL4";"2022-06-17";"12:45:00";"V12";"7flkk";"G-R6";"KR 11";"Grótta 6";"11"
"G-R6-U2-L5vsL3";"2022-06-17";"13:15:00";"V12";"7flkk";"G-R6";"Völsungur 3";"KR 11";"11"
"G-R6-U3-L3vsL1";"2022-06-17";"13:45:00";"V11";"7flkk";"G-R6";"KR 11";"Grindavík 7";"11"
"G-R6-U4-L2vsL3";"2022-06-17";"14:15:00";"V11";"7flkk";"G-R6";"Afturelding 8";"KR 11";"11"
"G-R1-U1-L2vsL5";"2022-06-17";"12:30:00";"V19";"7flkk";"G-R1";"KR 12";"FH 7";"12"
"G-R1-U2-L1vsL2";"2022-06-17";"13:00:00";"V19";"7flkk";"G-R1";"VíkingurR 8";"KR 12";"12"
"G-R1-U4-L2vsL3";"2022-06-17";"14:00:00";"V19";"7flkk";"G-R1";"KR 12";"Snæfellsnes 3";"12"
"G-R1-U5-L4vsL2";"2022-06-17";"14:30:00";"V20";"7flkk";"G-R1";"ÍA 7";"KR 12";"12"
"B-R6-U1-L3vsL4";"2022-06-17";"15:30:00";"V6";"7flkk";"B-R6";"KR 2";"UMFS Dalvík 1";"2"
"B-R6-U2-L5vsL3";"2022-06-17";"16:00:00";"V6";"7flkk";"B-R6";"Fjölnir 2";"KR 2";"2"
"B-R6-U3-L3vsL1";"2022-06-17";"16:30:00";"V5";"7flkk";"B-R6";"KR 2";"ÍBV 2";"2"
"B-R6-U4-L2vsL3";"2022-06-17";"17:00:00";"V5";"7flkk";"B-R6";"Breiðablik 3";"KR 2";"2"
"B-R2-U1-L3vsL4";"2022-06-17";"15:30:00";"V2";"7flkk";"B-R2";"Keflavík 2";"KR 3";"3"
"B-R2-U3-L4vsL5";"2022-06-17";"16:30:00";"V2";"7flkk";"B-R2";"KR 3";"ÍR 1";"3"
"B-R2-U4-L1vsL4";"2022-06-17";"17:00:00";"V2";"7flkk";"B-R2";"Breiðablik 2";"KR 3";"3"
"B-R2-U5-L4vsL2";"2022-06-17";"17:30:00";"V2";"7flkk";"B-R2";"KR 3";"Snæfellsnes 1";"3"
"B-R4-U1-L3vsL4";"2022-06-17";"15:30:00";"V4";"7flkk";"B-R4";"Tindastóll 1";"KR 4";"4"
"B-R4-U3-L4vsL5";"2022-06-17";"16:30:00";"V4";"7flkk";"B-R4";"KR 4";"Haukar 1";"4"
"B-R4-U4-L1vsL4";"2022-06-17";"17:00:00";"V4";"7flkk";"B-R4";"Stjarnan 3";"KR 4";"4"
"B-R4-U5-L4vsL2";"2022-06-17";"17:30:00";"V4";"7flkk";"B-R4";"KR 4";"Skallagrímur 1";"4"
"C-R1-U1-L2vsL5";"2022-06-17";"15:15:00";"V7";"7flkk";"C-R1";"VíkingurR 3";"KR 5";"5"
"C-R1-U2-L5vsL3";"2022-06-17";"15:45:00";"V8";"7flkk";"C-R1";"KR 5";"ÍA 3";"5"
"C-R1-U3-L4vsL5";"2022-06-17";"16:15:00";"V8";"7flkk";"C-R1";"Grótta 3";"KR 5";"5"
"C-R1-U5-L5vsL1";"2022-06-17";"17:15:00";"V7";"7flkk";"C-R1";"KR 5";"Þróttur R 4";"5"
"C-R3-U1-L2vsL5";"2022-06-17";"15:15:00";"V9";"7flkk";"C-R3";"KR 6";"Afturelding 3";"6"
"C-R3-U2-L1vsL2";"2022-06-17";"15:45:00";"V9";"7flkk";"C-R3";"Stjarnan 6";"KR 6";"6"
"C-R3-U4-L2vsL3";"2022-06-17";"16:45:00";"V9";"7flkk";"C-R3";"KR 6";"Valur 2";"6"
"C-R3-U5-L4vsL2";"2022-06-17";"17:15:00";"V10";"7flkk";"C-R3";"Keflavík 3";"KR 6";"6"
"D-R1-U1-L2vsL5";"2022-06-17";"12:30:00";"V7";"7flkk";"D-R1";"Afturelding 4";"KR 7";"7"
"D-R1-U2-L5vsL3";"2022-06-17";"13:00:00";"V8";"7flkk";"D-R1";"KR 7";"Breiðablik 6";"7"
"D-R1-U3-L4vsL5";"2022-06-17";"13:30:00";"V8";"7flkk";"D-R1";"Njarðvík 3";"KR 7";"7"
"D-R1-U5-L5vsL1";"2022-06-17";"14:30:00";"V7";"7flkk";"D-R1";"KR 7";"Keflavík 4";"7"
"E-R2-U1-L2vsL5";"2022-06-17";"12:45:00";"V13";"7flkk";"E-R2";"Njarðvík 4";"KR 8";"8"
"E-R2-U2-L5vsL3";"2022-06-17";"13:15:00";"V14";"7flkk";"E-R2";"KR 8";"Grindavík 5";"8"
"E-R2-U3-L4vsL5";"2022-06-17";"13:45:00";"V14";"7flkk";"E-R2";"Fjölnir 7";"KR 8";"8"
"E-R2-U5-L5vsL1";"2022-06-17";"14:45:00";"V13";"7flkk";"E-R2";"KR 8";"Haukar 3";"8"
"F-R1-U1-L3vsL4";"2022-06-17";"15:15:00";"V14";"7flkk";"F-R1";"Valur 6";"KR 9";"9"
"F-R1-U3-L4vsL5";"2022-06-17";"16:15:00";"V14";"7flkk";"F-R1";"KR 9";"Breiðablik 11";"9"
"F-R1-U4-L1vsL4";"2022-06-17";"16:45:00";"V14";"7flkk";"F-R1";"Fjölnir 9";"KR 9";"9"
"F-R1-U5-L4vsL2";"2022-06-17";"17:15:00";"V14";"7flkk";"F-R1";"KR 9";"HK 5";"9"
