"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"B-R3-U1-L2vsL5";"2022-06-17";"15:15:00";"V3";"7flkk";"B-R3";"Álftanes 1";"Njarðvík 1";"1"
"B-R3-U2-L5vsL3";"2022-06-17";"15:45:00";"V4";"7flkk";"B-R3";"Njarðvík 1";"Stjarnan 4";"1"
"B-R3-U3-L4vsL5";"2022-06-17";"16:15:00";"V4";"7flkk";"B-R3";"Grótta 2";"Njarðvík 1";"1"
"B-R3-U5-L5vsL1";"2022-06-17";"17:15:00";"V3";"7flkk";"B-R3";"Njarðvík 1";"FH 2";"1"
"C-R6-U1-L3vsL4";"2022-06-17";"15:30:00";"V12";"7flkk";"C-R6";"Njarðvík 2";"Stjarnan 5";"2"
"C-R6-U2-L5vsL3";"2022-06-17";"16:00:00";"V12";"7flkk";"C-R6";"Breiðablik 5";"Njarðvík 2";"2"
"C-R6-U3-L3vsL1";"2022-06-17";"16:30:00";"V11";"7flkk";"C-R6";"Njarðvík 2";"Leiknir R 1";"2"
"C-R6-U4-L2vsL3";"2022-06-17";"17:00:00";"V11";"7flkk";"C-R6";"Þór Ak.";"Njarðvík 2";"2"
"D-R1-U1-L3vsL4";"2022-06-17";"12:30:00";"V8";"7flkk";"D-R1";"Breiðablik 6";"Njarðvík 3";"3"
"D-R1-U3-L4vsL5";"2022-06-17";"13:30:00";"V8";"7flkk";"D-R1";"Njarðvík 3";"KR 7";"3"
"D-R1-U4-L1vsL4";"2022-06-17";"14:00:00";"V8";"7flkk";"D-R1";"Keflavík 4";"Njarðvík 3";"3"
"D-R1-U5-L4vsL2";"2022-06-17";"14:30:00";"V8";"7flkk";"D-R1";"Njarðvík 3";"Afturelding 4";"3"
"E-R2-U1-L2vsL5";"2022-06-17";"12:45:00";"V13";"7flkk";"E-R2";"Njarðvík 4";"KR 8";"4"
"E-R2-U2-L1vsL2";"2022-06-17";"13:15:00";"V13";"7flkk";"E-R2";"Haukar 3";"Njarðvík 4";"4"
"E-R2-U4-L2vsL3";"2022-06-17";"14:15:00";"V13";"7flkk";"E-R2";"Njarðvík 4";"Grindavík 5";"4"
"E-R2-U5-L4vsL2";"2022-06-17";"14:45:00";"V14";"7flkk";"E-R2";"Fjölnir 7";"Njarðvík 4";"4"
"F-R2-U1-L3vsL4";"2022-06-17";"15:30:00";"V14";"7flkk";"F-R2";"Vestri 2";"Njarðvík 5";"5"
"F-R2-U3-L4vsL5";"2022-06-17";"16:30:00";"V14";"7flkk";"F-R2";"Njarðvík 5";"Reynir/Víðir 2";"5"
"F-R2-U4-L1vsL4";"2022-06-17";"17:00:00";"V14";"7flkk";"F-R2";"KR 10";"Njarðvík 5";"5"
"F-R2-U5-L4vsL2";"2022-06-17";"17:30:00";"V14";"7flkk";"F-R2";"Njarðvík 5";"FH 5";"5"
"G-R3-U1-L2vsL5";"2022-06-17";"12:30:00";"V5";"7flkk";"G-R3";"Keflavík 7";"Njarðvík 6";"6"
"G-R3-U2-L5vsL3";"2022-06-17";"13:00:00";"V6";"7flkk";"G-R3";"Njarðvík 6";"Haukar 5";"6"
"G-R3-U3-L4vsL5";"2022-06-17";"13:30:00";"V6";"7flkk";"G-R3";"FH 8";"Njarðvík 6";"6"
"G-R3-U5-L5vsL1";"2022-06-17";"14:30:00";"V5";"7flkk";"G-R3";"Njarðvík 6";"Tindastóll 2";"6"
