"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R2-U1-L3vsL4";"2022-06-17";"12:45:00";"V2";"7flkk";"A-R2";"Selfoss 1";"Þór Ak.";"1"
"A-R2-U2-L5vsL3";"2022-06-17";"13:15:00";"V2";"7flkk";"A-R2";"Afturelding 1";"Selfoss 1";"1"
"A-R2-U3-L3vsL1";"2022-06-17";"13:45:00";"V1";"7flkk";"A-R2";"Selfoss 1";"Stjarnan 1";"1"
"A-R2-U4-L2vsL3";"2022-06-17";"14:15:00";"V1";"7flkk";"A-R2";"Fjölnir 1";"Selfoss 1";"1"
"C-R2-U2-L1vsL2";"2022-06-17";"16:00:00";"V7";"7flkk";"C-R2";"Selfoss 2";"Stjarnan 7";"2"
"C-R2-U3-L3vsL1";"2022-06-17";"16:30:00";"V7";"7flkk";"C-R2";"FH 3";"Selfoss 2";"2"
"C-R2-U4-L1vsL4";"2022-06-17";"17:00:00";"V8";"7flkk";"C-R2";"Selfoss 2";"KA 3";"2"
"C-R2-U5-L5vsL1";"2022-06-17";"17:30:00";"V7";"7flkk";"C-R2";"Reynir/Víðir 1";"Selfoss 2";"2"
"G-R2-U2-L1vsL2";"2022-06-17";"13:15:00";"V19";"7flkk";"G-R2";"Selfoss 3";"HK 6";"3"
"G-R2-U3-L3vsL1";"2022-06-17";"13:45:00";"V19";"7flkk";"G-R2";"ÍBV 6";"Selfoss 3";"3"
"G-R2-U4-L1vsL4";"2022-06-17";"14:15:00";"V20";"7flkk";"G-R2";"Selfoss 3";"Þór Ak.";"3"
"G-R2-U5-L5vsL1";"2022-06-17";"14:45:00";"V19";"7flkk";"G-R2";"Fjölnir 10";"Selfoss 3";"3"
