"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"B-R2-U1-L2vsL5";"2022-06-17";"15:30:00";"V1";"7flkk";"B-R2";"Snæfellsnes 1";"ÍR 1";"1"
"B-R2-U2-L1vsL2";"2022-06-17";"16:00:00";"V1";"7flkk";"B-R2";"Breiðablik 2";"Snæfellsnes 1";"1"
"B-R2-U4-L2vsL3";"2022-06-17";"17:00:00";"V1";"7flkk";"B-R2";"Snæfellsnes 1";"Keflavík 2";"1"
"B-R2-U5-L4vsL2";"2022-06-17";"17:30:00";"V2";"7flkk";"B-R2";"KR 3";"Snæfellsnes 1";"1"
"D-R4-U1-L3vsL4";"2022-06-17";"12:45:00";"V10";"7flkk";"D-R4";"Snæfellsnes 2";"Fjölnir 4";"2"
"D-R4-U2-L5vsL3";"2022-06-17";"13:15:00";"V10";"7flkk";"D-R4";"Þróttur R 5";"Snæfellsnes 2";"2"
"D-R4-U3-L3vsL1";"2022-06-17";"13:45:00";"V9";"7flkk";"D-R4";"Snæfellsnes 2";"Grindavík 3";"2"
"D-R4-U4-L2vsL3";"2022-06-17";"14:15:00";"V9";"7flkk";"D-R4";"Skallagrímur 2";"Snæfellsnes 2";"2"
"G-R1-U1-L3vsL4";"2022-06-17";"12:30:00";"V20";"7flkk";"G-R1";"Snæfellsnes 3";"ÍA 7";"3"
"G-R1-U2-L5vsL3";"2022-06-17";"13:00:00";"V20";"7flkk";"G-R1";"FH 7";"Snæfellsnes 3";"3"
"G-R1-U3-L3vsL1";"2022-06-17";"13:30:00";"V19";"7flkk";"G-R1";"Snæfellsnes 3";"VíkingurR 8";"3"
"G-R1-U4-L2vsL3";"2022-06-17";"14:00:00";"V19";"7flkk";"G-R1";"KR 12";"Snæfellsnes 3";"3"
