"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R2-U2-L1vsL2";"2022-06-17";"13:15:00";"V1";"7flkk";"A-R2";"Stjarnan 1";"Fjölnir 1";"1"
"A-R2-U3-L3vsL1";"2022-06-17";"13:45:00";"V1";"7flkk";"A-R2";"Selfoss 1";"Stjarnan 1";"1"
"A-R2-U4-L1vsL4";"2022-06-17";"14:15:00";"V2";"7flkk";"A-R2";"Stjarnan 1";"Þór Ak.";"1"
"A-R2-U5-L5vsL1";"2022-06-17";"14:45:00";"V1";"7flkk";"A-R2";"Afturelding 1";"Stjarnan 1";"1"
"E-R6-U1-L3vsL4";"2022-06-17";"12:45:00";"V18";"7flkk";"E-R6";"UMFS Dalvík 2";"Stjarnan 10";"10"
"E-R6-U3-L4vsL5";"2022-06-17";"13:45:00";"V18";"7flkk";"E-R6";"Stjarnan 10";"Keflavík 5";"10"
"E-R6-U4-L1vsL4";"2022-06-17";"14:15:00";"V18";"7flkk";"E-R6";"ÍA 5";"Stjarnan 10";"10"
"E-R6-U5-L4vsL2";"2022-06-17";"14:45:00";"V18";"7flkk";"E-R6";"Stjarnan 10";"Breiðablik 8";"10"
"E-R3-U2-L1vsL2";"2022-06-17";"13:00:00";"V15";"7flkk";"E-R3";"Stjarnan 11";"Afturelding 5";"11"
"E-R3-U3-L3vsL1";"2022-06-17";"13:30:00";"V15";"7flkk";"E-R3";"Fjölnir 6";"Stjarnan 11";"11"
"E-R3-U4-L1vsL4";"2022-06-17";"14:00:00";"V16";"7flkk";"E-R3";"Stjarnan 11";"KA 4";"11"
"E-R3-U5-L5vsL1";"2022-06-17";"14:30:00";"V15";"7flkk";"E-R3";"ÍBV 4";"Stjarnan 11";"11"
"F-R3-U1-L3vsL4";"2022-06-17";"15:15:00";"V16";"7flkk";"F-R3";"ÍA 6";"Stjarnan 12";"12"
"F-R3-U3-L4vsL5";"2022-06-17";"16:15:00";"V16";"7flkk";"F-R3";"Stjarnan 12";"Breiðablik 9";"12"
"F-R3-U4-L1vsL4";"2022-06-17";"16:45:00";"V16";"7flkk";"F-R3";"VíkingurR 7";"Stjarnan 12";"12"
"F-R3-U5-L4vsL2";"2022-06-17";"17:15:00";"V16";"7flkk";"F-R3";"Stjarnan 12";"Keflavík 6";"12"
"B-R1-U1-L2vsL5";"2022-06-17";"15:15:00";"V1";"7flkk";"B-R1";"Stjarnan 2";"VíkingurR 2";"2"
"B-R1-U2-L1vsL2";"2022-06-17";"15:45:00";"V1";"7flkk";"B-R1";"Þór Ak.";"Stjarnan 2";"2"
"B-R1-U4-L2vsL3";"2022-06-17";"16:45:00";"V1";"7flkk";"B-R1";"Stjarnan 2";"KA 2";"2"
"B-R1-U5-L4vsL2";"2022-06-17";"17:15:00";"V2";"7flkk";"B-R1";"Þróttur R 2";"Stjarnan 2";"2"
"B-R4-U2-L1vsL2";"2022-06-17";"16:00:00";"V3";"7flkk";"B-R4";"Stjarnan 3";"Skallagrímur 1";"3"
"B-R4-U3-L3vsL1";"2022-06-17";"16:30:00";"V3";"7flkk";"B-R4";"Tindastóll 1";"Stjarnan 3";"3"
"B-R4-U4-L1vsL4";"2022-06-17";"17:00:00";"V4";"7flkk";"B-R4";"Stjarnan 3";"KR 4";"3"
"B-R4-U5-L5vsL1";"2022-06-17";"17:30:00";"V3";"7flkk";"B-R4";"Haukar 1";"Stjarnan 3";"3"
"B-R3-U1-L3vsL4";"2022-06-17";"15:15:00";"V4";"7flkk";"B-R3";"Stjarnan 4";"Grótta 2";"4"
"B-R3-U2-L5vsL3";"2022-06-17";"15:45:00";"V4";"7flkk";"B-R3";"Njarðvík 1";"Stjarnan 4";"4"
"B-R3-U3-L3vsL1";"2022-06-17";"16:15:00";"V3";"7flkk";"B-R3";"Stjarnan 4";"FH 2";"4"
"B-R3-U4-L2vsL3";"2022-06-17";"16:45:00";"V3";"7flkk";"B-R3";"Álftanes 1";"Stjarnan 4";"4"
"C-R6-U1-L3vsL4";"2022-06-17";"15:30:00";"V12";"7flkk";"C-R6";"Njarðvík 2";"Stjarnan 5";"5"
"C-R6-U3-L4vsL5";"2022-06-17";"16:30:00";"V12";"7flkk";"C-R6";"Stjarnan 5";"Breiðablik 5";"5"
"C-R6-U4-L1vsL4";"2022-06-17";"17:00:00";"V12";"7flkk";"C-R6";"Leiknir R 1";"Stjarnan 5";"5"
"C-R6-U5-L4vsL2";"2022-06-17";"17:30:00";"V12";"7flkk";"C-R6";"Stjarnan 5";"Þór Ak.";"5"
"C-R3-U2-L1vsL2";"2022-06-17";"15:45:00";"V9";"7flkk";"C-R3";"Stjarnan 6";"KR 6";"6"
"C-R3-U3-L3vsL1";"2022-06-17";"16:15:00";"V9";"7flkk";"C-R3";"Valur 2";"Stjarnan 6";"6"
"C-R3-U4-L1vsL4";"2022-06-17";"16:45:00";"V10";"7flkk";"C-R3";"Stjarnan 6";"Keflavík 3";"6"
"C-R3-U5-L5vsL1";"2022-06-17";"17:15:00";"V9";"7flkk";"C-R3";"Afturelding 3";"Stjarnan 6";"6"
"C-R2-U1-L2vsL5";"2022-06-17";"15:30:00";"V7";"7flkk";"C-R2";"Stjarnan 7";"Reynir/Víðir 1";"7"
"C-R2-U2-L1vsL2";"2022-06-17";"16:00:00";"V7";"7flkk";"C-R2";"Selfoss 2";"Stjarnan 7";"7"
