"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R3-U1-L2vsL5";"2022-06-17";"12:30:00";"V3";"7flkk";"A-R3";"Þróttur R 1";"KA 1";"1"
"A-R3-U2-L1vsL2";"2022-06-17";"13:00:00";"V3";"7flkk";"A-R3";"FH 1";"Þróttur R 1";"1"
"A-R3-U4-L2vsL3";"2022-06-17";"14:00:00";"V3";"7flkk";"A-R3";"Þróttur R 1";"Grindavík 1";"1"
"A-R3-U5-L4vsL2";"2022-06-17";"14:30:00";"V4";"7flkk";"A-R3";"Breiðablik 1";"Þróttur R 1";"1"
"B-R1-U1-L3vsL4";"2022-06-17";"15:15:00";"V2";"7flkk";"B-R1";"KA 2";"Þróttur R 2";"2"
"B-R1-U3-L4vsL5";"2022-06-17";"16:15:00";"V2";"7flkk";"B-R1";"Þróttur R 2";"VíkingurR 2";"2"
"B-R1-U4-L1vsL4";"2022-06-17";"16:45:00";"V2";"7flkk";"B-R1";"Þór Ak.";"Þróttur R 2";"2"
"B-R1-U5-L4vsL2";"2022-06-17";"17:15:00";"V2";"7flkk";"B-R1";"Þróttur R 2";"Stjarnan 2";"2"
"B-R5-U1-L3vsL4";"2022-06-17";"15:15:00";"V6";"7flkk";"B-R5";"Þróttur R 3";"Hamar 1";"3"
"B-R5-U2-L5vsL3";"2022-06-17";"15:45:00";"V6";"7flkk";"B-R5";"Fylkir 2";"Þróttur R 3";"3"
"B-R5-U3-L3vsL1";"2022-06-17";"16:15:00";"V5";"7flkk";"B-R5";"Þróttur R 3";"ÍA 2";"3"
"B-R5-U4-L2vsL3";"2022-06-17";"16:45:00";"V5";"7flkk";"B-R5";"Völsungur 1";"Þróttur R 3";"3"
"C-R1-U2-L1vsL2";"2022-06-17";"15:45:00";"V7";"7flkk";"C-R1";"Þróttur R 4";"VíkingurR 3";"4"
"C-R1-U3-L3vsL1";"2022-06-17";"16:15:00";"V7";"7flkk";"C-R1";"ÍA 3";"Þróttur R 4";"4"
"C-R1-U4-L1vsL4";"2022-06-17";"16:45:00";"V8";"7flkk";"C-R1";"Þróttur R 4";"Grótta 3";"4"
"C-R1-U5-L5vsL1";"2022-06-17";"17:15:00";"V7";"7flkk";"C-R1";"KR 5";"Þróttur R 4";"4"
"D-R4-U1-L2vsL5";"2022-06-17";"12:45:00";"V9";"7flkk";"D-R4";"Skallagrímur 2";"Þróttur R 5";"5"
"D-R4-U2-L5vsL3";"2022-06-17";"13:15:00";"V10";"7flkk";"D-R4";"Þróttur R 5";"Snæfellsnes 2";"5"
"D-R4-U3-L4vsL5";"2022-06-17";"13:45:00";"V10";"7flkk";"D-R4";"Fjölnir 4";"Þróttur R 5";"5"
"D-R4-U5-L5vsL1";"2022-06-17";"14:45:00";"V9";"7flkk";"D-R4";"Þróttur R 5";"Grindavík 3";"5"
"E-R4-U1-L2vsL5";"2022-06-17";"12:45:00";"V15";"7flkk";"E-R4";"Grótta 4";"Þróttur R 6";"6"
"E-R4-U2-L5vsL3";"2022-06-17";"13:15:00";"V16";"7flkk";"E-R4";"Þróttur R 6";"HK 3";"6"
"E-R4-U3-L4vsL5";"2022-06-17";"13:45:00";"V16";"7flkk";"E-R4";"Völsungur 2";"Þróttur R 6";"6"
"E-R4-U5-L5vsL1";"2022-06-17";"14:45:00";"V15";"7flkk";"E-R4";"Þróttur R 6";"Grindavík 4";"6"
"F-R5-U2-L1vsL2";"2022-06-17";"15:45:00";"V17";"7flkk";"F-R5";"Þróttur R 7";"HK 4";"7"
"F-R5-U3-L3vsL1";"2022-06-17";"16:15:00";"V17";"7flkk";"F-R5";"Fram 3";"Þróttur R 7";"7"
"F-R5-U4-L1vsL4";"2022-06-17";"16:45:00";"V18";"7flkk";"F-R5";"Þróttur R 7";"Fjölnir 8";"7"
"F-R5-U5-L5vsL1";"2022-06-17";"17:15:00";"V17";"7flkk";"F-R5";"Afturelding 6";"Þróttur R 7";"7"
