"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"A-R4-U1-L3vsL4";"2022-06-17";"12:45:00";"V4";"7flkk";"A-R4";"VíkingurR 1";"KR 1";"1"
"A-R4-U2-L5vsL3";"2022-06-17";"13:15:00";"V4";"7flkk";"A-R4";"Keflavík 1";"VíkingurR 1";"1"
"A-R4-U3-L3vsL1";"2022-06-17";"13:45:00";"V3";"7flkk";"A-R4";"VíkingurR 1";"Grótta 1";"1"
"A-R4-U4-L2vsL3";"2022-06-17";"14:15:00";"V3";"7flkk";"A-R4";"ÍBV 1";"VíkingurR 1";"1"
"B-R1-U1-L2vsL5";"2022-06-17";"15:15:00";"V1";"7flkk";"B-R1";"Stjarnan 2";"VíkingurR 2";"2"
"B-R1-U2-L5vsL3";"2022-06-17";"15:45:00";"V2";"7flkk";"B-R1";"VíkingurR 2";"KA 2";"2"
"B-R1-U3-L4vsL5";"2022-06-17";"16:15:00";"V2";"7flkk";"B-R1";"Þróttur R 2";"VíkingurR 2";"2"
"B-R1-U5-L5vsL1";"2022-06-17";"17:15:00";"V1";"7flkk";"B-R1";"VíkingurR 2";"Þór Ak.";"2"
"C-R1-U1-L2vsL5";"2022-06-17";"15:15:00";"V7";"7flkk";"C-R1";"VíkingurR 3";"KR 5";"3"
"C-R1-U2-L1vsL2";"2022-06-17";"15:45:00";"V7";"7flkk";"C-R1";"Þróttur R 4";"VíkingurR 3";"3"
"C-R1-U4-L2vsL3";"2022-06-17";"16:45:00";"V7";"7flkk";"C-R1";"VíkingurR 3";"ÍA 3";"3"
"C-R1-U5-L4vsL2";"2022-06-17";"17:15:00";"V8";"7flkk";"C-R1";"Grótta 3";"VíkingurR 3";"3"
"D-R3-U1-L3vsL4";"2022-06-17";"12:30:00";"V10";"7flkk";"D-R3";"Hamar 2";"VíkingurR 4";"4"
"D-R3-U3-L4vsL5";"2022-06-17";"13:30:00";"V10";"7flkk";"D-R3";"VíkingurR 4";"ÍBV 3";"4"
"D-R3-U4-L1vsL4";"2022-06-17";"14:00:00";"V10";"7flkk";"D-R3";"Stjarnan 9";"VíkingurR 4";"4"
"D-R3-U5-L4vsL2";"2022-06-17";"14:30:00";"V10";"7flkk";"D-R3";"VíkingurR 4";"ÍR 3";"4"
"E-R1-U1-L2vsL5";"2022-06-17";"12:30:00";"V13";"7flkk";"E-R1";"Valur 5";"VíkingurR 5";"5"
"E-R1-U2-L5vsL3";"2022-06-17";"13:00:00";"V14";"7flkk";"E-R1";"VíkingurR 5";"Þór Ak.";"5"
"E-R1-U3-L4vsL5";"2022-06-17";"13:30:00";"V14";"7flkk";"E-R1";"Fylkir 5";"VíkingurR 5";"5"
"E-R1-U5-L5vsL1";"2022-06-17";"14:30:00";"V13";"7flkk";"E-R1";"VíkingurR 5";"Álftanes 2";"5"
"E-R5-U1-L3vsL4";"2022-06-17";"12:30:00";"V18";"7flkk";"E-R5";"FH 4";"VíkingurR 6";"6"
"E-R5-U3-L4vsL5";"2022-06-17";"13:30:00";"V18";"7flkk";"E-R5";"VíkingurR 6";"Valur 4";"6"
"E-R5-U4-L1vsL4";"2022-06-17";"14:00:00";"V18";"7flkk";"E-R5";"Breiðablik 7";"VíkingurR 6";"6"
"E-R5-U5-L4vsL2";"2022-06-17";"14:30:00";"V18";"7flkk";"E-R5";"VíkingurR 6";"ÍA 4";"6"
"F-R3-U2-L1vsL2";"2022-06-17";"15:45:00";"V15";"7flkk";"F-R3";"VíkingurR 7";"Keflavík 6";"7"
"F-R3-U3-L3vsL1";"2022-06-17";"16:15:00";"V15";"7flkk";"F-R3";"ÍA 6";"VíkingurR 7";"7"
"F-R3-U4-L1vsL4";"2022-06-17";"16:45:00";"V16";"7flkk";"F-R3";"VíkingurR 7";"Stjarnan 12";"7"
"F-R3-U5-L5vsL1";"2022-06-17";"17:15:00";"V15";"7flkk";"F-R3";"Breiðablik 9";"VíkingurR 7";"7"
"G-R1-U2-L1vsL2";"2022-06-17";"13:00:00";"V19";"7flkk";"G-R1";"VíkingurR 8";"KR 12";"8"
"G-R1-U3-L3vsL1";"2022-06-17";"13:30:00";"V19";"7flkk";"G-R1";"Snæfellsnes 3";"VíkingurR 8";"8"
"G-R1-U4-L1vsL4";"2022-06-17";"14:00:00";"V20";"7flkk";"G-R1";"VíkingurR 8";"ÍA 7";"8"
"G-R1-U5-L5vsL1";"2022-06-17";"14:30:00";"V19";"7flkk";"G-R1";"FH 7";"VíkingurR 8";"8"
"G-R4-U1-L3vsL4";"2022-06-17";"12:45:00";"V6";"7flkk";"G-R4";"VíkingurR 9";"Afturelding 9";"9"
"G-R4-U2-L5vsL3";"2022-06-17";"13:15:00";"V6";"7flkk";"G-R4";"Fylkir 7";"VíkingurR 9";"9"
"G-R4-U3-L3vsL1";"2022-06-17";"13:45:00";"V5";"7flkk";"G-R4";"VíkingurR 9";"KF 2";"9"
"G-R4-U4-L2vsL3";"2022-06-17";"14:15:00";"V5";"7flkk";"G-R4";"ÍA 8";"VíkingurR 9";"9"
