"Leikur";"Dags";"Tími";"Pitch";"Flokkur";"Group";"Home team";"Away team";"SA Subgroup"
"B-R5-U1-L2vsL5";"2022-06-17";"15:15:00";"V5";"7flkk";"B-R5";"Völsungur 1";"Fylkir 2";"1"
"B-R5-U2-L1vsL2";"2022-06-17";"15:45:00";"V5";"7flkk";"B-R5";"ÍA 2";"Völsungur 1";"1"
"B-R5-U4-L2vsL3";"2022-06-17";"16:45:00";"V5";"7flkk";"B-R5";"Völsungur 1";"Þróttur R 3";"1"
"B-R5-U5-L4vsL2";"2022-06-17";"17:15:00";"V6";"7flkk";"B-R5";"Hamar 1";"Völsungur 1";"1"
"E-R4-U1-L3vsL4";"2022-06-17";"12:45:00";"V16";"7flkk";"E-R4";"HK 3";"Völsungur 2";"2"
"E-R4-U3-L4vsL5";"2022-06-17";"13:45:00";"V16";"7flkk";"E-R4";"Völsungur 2";"Þróttur R 6";"2"
"E-R4-U4-L1vsL4";"2022-06-17";"14:15:00";"V16";"7flkk";"E-R4";"Grindavík 4";"Völsungur 2";"2"
"E-R4-U5-L4vsL2";"2022-06-17";"14:45:00";"V16";"7flkk";"E-R4";"Völsungur 2";"Grótta 4";"2"
"G-R6-U1-L2vsL5";"2022-06-17";"12:45:00";"V11";"7flkk";"G-R6";"Afturelding 8";"Völsungur 3";"3"
"G-R6-U2-L5vsL3";"2022-06-17";"13:15:00";"V12";"7flkk";"G-R6";"Völsungur 3";"KR 11";"3"
"G-R6-U3-L4vsL5";"2022-06-17";"13:45:00";"V12";"7flkk";"G-R6";"Grótta 6";"Völsungur 3";"3"
"G-R6-U5-L5vsL1";"2022-06-17";"14:45:00";"V11";"7flkk";"G-R6";"Völsungur 3";"Grindavík 7";"3"
